antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['flow_Link_23__(3082.32, 3733.2]', 'demand_Node_3_PatternStep_18__(-0.0002, 0.0002]']",leak_label__1.0,0.161,1.0,0.668,0.161
"['flow_Link_23__(3082.32, 3733.2]', 'demand_Node_3_PatternStep_19__(-0.0002, 0.0002]']",leak_label__1.0,0.161,1.0,0.668,0.161
"['flow_Link_23__(3082.32, 3733.2]', 'demand_Node_3_PatternStep_20__(-0.0002, 0.0002]']",leak_label__1.0,0.161,1.0,0.668,0.161
"['flow_Link_23__(3082.32, 3733.2]', 'demand_Node_3_PatternStep_21__(-0.0002, 0.0002]']",leak_label__1.0,0.161,1.0,0.668,0.161
"['flow_Link_23__(3082.32, 3733.2]', 'demand_Node_3_PatternStep_22__(-0.0002, 0.0002]']",leak_label__1.0,0.161,1.0,0.668,0.161
"['flow_Link_23__(3082.32, 3733.2]', 'demand_Node_3_PatternStep_23__(-0.0002, 0.0002]']",leak_label__1.0,0.161,1.0,0.668,0.161
"['flow_Link_23__(3082.32, 3733.2]', 'demand_Node_3_PatternStep_24__(-0.0002, 0.0002]']",leak_label__1.0,0.161,1.0,0.668,0.161
"['flow_Link_23__(3082.32, 3733.2]', 'demand_Node_3_PatternStep_25__(-0.0002, 0.0002]']",leak_label__1.0,0.161,1.0,0.668,0.161
"['flow_Link_23__(3082.32, 3733.2]', 'demand_Node_3_PatternStep_26__(-0.0002, 0.0002]']",leak_label__1.0,0.161,1.0,0.668,0.161
"['flow_Link_23__(3082.32, 3733.2]', 'demand_Node_3_PatternStep_27__(-0.0002, 0.0002]']",leak_label__1.0,0.161,1.0,0.668,0.161
"['flow_Link_23__(3082.32, 3733.2]', 'demand_Node_3_PatternStep_28__(-0.0002, 0.0002]']",leak_label__1.0,0.161,1.0,0.668,0.161
"['flow_Link_23__(3082.32, 3733.2]', 'demand_Node_3_PatternStep_29__(-0.0002, 0.0002]']",leak_label__1.0,0.161,1.0,0.668,0.161
